Country,year,GrowthPWT,L1Growth,F1Growth,L2Growth,F2Growth,L3Growth,F3Growth,L4Growth,F4Growth,L5Growth,F5Growth
Angola,1988,5.423129082,6.766699791,0.386295974,3.126282454,-0.445197701,3.440145969,0.986468017,5.826888561,-6.015639305,4.114202023,-27.42186928
Angola,1991,0.986468017,-0.445197701,-6.015639305,0.386295974,-27.42186928,5.423129082,1.330474496,6.766699791,13.97619057,3.126282454,12.7023468
Angola,1996,12.7023468,13.97619057,7.021868229,1.330474496,4.584438801,-27.42186928,2.158043146,-6.015639305,3.008890629,0.986468017,3.091718197
Albania,1990,-10.06564999,9.382313728,-32.85337448,-1.430216789,-7.471784592,-0.791245401,9.166881561,5.443799019,7.973701,1.764971614,12.48677254
Albania,1994,7.973701,9.166881561,12.48677254,-7.471784592,8.711064339,-32.85337448,-11.47136593,-10.06564999,8.625829697,9.382313728,12.66429329
Albania,1997,-11.47136593,8.711064339,8.625829697,12.48677254,12.66429329,7.973701,6.414516926,9.166881561,7.640671253,-7.471784592,4.144273758
Argentina,1975,-0.595095873,5.264585018,-0.011881481,3.677105427,6.190551758,2.055697918,-3.275481462,3.693002462,6.781854153,3.146675587,1.443246961
Argentina,1980,1.443246961,6.781854153,-5.569186211,-3.275481462,-3.212289095,6.190551758,4.03003788,-0.011881481,1.985646963,-0.595095873,-7.209860802
Argentina,1981,-5.569186211,1.443246961,-3.212289095,6.781854153,4.03003788,-3.275481462,1.985646963,6.190551758,-7.209860802,-0.011881481,6.900003433
Argentina,1982,-3.212289095,-5.569186211,4.03003788,1.443246961,1.985646963,6.781854153,-7.209860802,-3.275481462,6.900003433,6.190551758,2.501239538
Argentina,1987,2.501239538,6.900003433,-1.97205615,-7.209860802,-7.268425465,1.985646963,-1.347650766,4.03003788,9.980940819,-3.212289095,9.807471275
Argentina,1989,-7.268425465,-1.97205615,-1.347650766,2.501239538,9.980940819,6.900003433,9.807471275,-7.209860802,6.064038277,1.985646963,5.672280788
Argentina,1995,-2.886515141,5.672280788,5.379351616,6.064038277,7.798881054,9.807471275,3.777911425,9.980940819,-3.444087267,-1.347650766,-0.792125404
Argentina,2001,-4.508972645,-0.792125404,-11.53490734,-3.444087267,8.468170166,3.777911425,8.644891739,7.798881054,8.825186729,5.379351616,8.042945862
Argentina,2002,-11.53490734,-4.508972645,8.468170166,-0.792125404,8.644891739,-3.444087267,8.825186729,3.777911425,8.042945862,7.798881054,7.664230347
Armenia,1994,5.190129757,-9.223404884,6.664117336,-54.05357742,5.732584476,-12.4189558,3.267054796,,7.083320141,,3.203377247
Austria,2008,1.535420537,3.557472706,-3.873127937,3.29591608,1.910316467,2.118085146,2.769292831,2.669791222,0.75446707,0.753305852,0.320731968
Azerbaijan,1994,-21.88391685,-26.26688194,-12.57613564,-25.61834335,1.246302128,-0.702460647,5.643111229,,9.499121666,,7.135587215
Azerbaijan,1995,-12.57613564,-21.88391685,1.246302128,-26.26688194,5.643111229,-25.61834335,9.499121666,-0.702460647,7.135587215,,10.52095318
Burundi,1994,-3.133151054,-7.287714481,-7.279797077,1.789617062,-9.000915527,5.196128845,0.378866106,3.43996954,4.39167738,1.472488642,-1.004582763
Belgium,2008,0.744327068,3.341031551,-2.311386108,2.46873498,2.659152269,2.072594166,1.780890107,3.570305347,0.151145414,0.771548152,0.016550204
Benin,1988,2.989315748,-1.511348009,-0.710085869,2.125707626,8.595870972,7.258793831,4.138948441,7.631371498,2.914817095,-4.443199635,5.672214985
Benin,1994,2.000264168,5.672214985,9.650771141,2.914817095,4.241068363,4.138948441,5.576233387,8.595870972,3.884574175,-0.710085869,5.203678608
Burkina Faso,1990,-0.610756576,2.131629229,8.685594559,5.636863232,0.227661401,-0.23815231,3.409103155,7.64968586,1.302319884,8.173998833,5.560328484
Burkina Faso,1994,1.302319884,3.409103155,5.560328484,0.227661401,10.44929314,8.685594559,6.125347137,-0.610756576,7.053039074,2.131629229,6.054627419
Bangladesh,1976,5.506906033,-4.174129009,2.637950659,9.159381866,6.834854603,3.271572351,4.689910889,-15.05174541,0.815810263,-5.635326862,3.338053465
Bangladesh,1987,4.096359253,4.248253822,2.849938631,2.967416763,2.488470554,5.283529758,6.417106152,4.777604103,3.34330225,1.22264719,4.140387535
Bulgaria,1990,-9.560135841,-3.345215797,-8.823420525,10.38615513,-7.528591633,5.87831068,-1.491403937,4.121490002,1.801796436,2.648070335,2.820084572
Bulgaria,1996,-9.868431091,2.820084572,-1.094768286,1.801796436,3.404204369,-1.491403937,-6.198054314,-7.528591633,4.88944149,-8.823420525,4.160270214
Bosnia and Herzegovina,1992,-6.653419018,-9.814243317,-2.205488443,,10.55481243,,18.89661407,,43.30757523,,31.21878433
Belarus,1994,-12.42434311,-7.861953735,-11.03486347,-10.14137268,2.738625288,-1.395364046,10.81490707,,8.106768608,,3.390475988
Belarus,1995,-11.03486347,-12.42434311,2.738625288,-7.861953735,10.81490707,-10.14137268,8.106768608,-1.395364046,3.390475988,,5.62631321
Belarus,1999,3.390475988,8.106768608,5.62631321,10.81490707,4.631399155,2.738625288,4.847155094,-11.03486347,6.751089096,-12.42434311,10.7530899
Belarus,2009,0.150770813,9.753313065,7.455798149,8.206458092,5.39556694,9.55238533,1.730394602,8.972734451,1.003911853,10.7530899,1.586850047
Bolivia,1973,5.580514431,7.665997982,2.897192001,4.939312935,7.056107044,-1.322607636,4.511263371,2.985823631,4.851602554,-14.59257793,2.031906605
Bolivia,1980,-1.381265759,0.133255228,0.92054075,2.031906605,-4.45704174,4.851602554,-4.56528759,4.511263371,-0.603348136,7.056107044,-0.970117211
Bolivia,1981,0.92054075,-1.381265759,-4.45704174,0.133255228,-4.56528759,2.031906605,-0.603348136,4.851602554,-0.970117211,4.511263371,-2.522404671
Bolivia,1986,-2.522404671,-0.970117211,2.568090677,-0.603348136,2.916075945,-4.56528759,3.720366001,-4.45704174,4.530923367,0.92054075,5.12997818
Bolivia,1994,4.566487312,4.178017139,4.568533897,1.635174036,4.271017551,5.12997818,4.835390568,4.530923367,4.9069767,3.720366001,0.425974011
Brazil,1976,9.803372383,5.069316864,4.783733845,7.881112099,4.879012108,13.10282803,6.578779697,11.24354553,8.801083565,10.70590305,-4.395187855
