Country,year,AmountAgreedPercentGDP,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Afghanistan,1965,.67052984,,,,,,,,,,,,
Afghanistan,1966,.5714286,,,,,,,,,,,,
Afghanistan,1968,.5097087,,,,,,,,,,,,
Afghanistan,1969,.851735,,,,,,,,,,,,
Afghanistan,1973,.68776816,,,,,,,,,,,,
Afghanistan,1975,.43606696,,,,,,,,,,,,
Angola,2009,1.8825516,.85871261,11.166139,14.010018,11.547683,15.028915,10.952862,4.8592196,3.4719813,8.5421476,4.9545903,4.8226256,.94357562
Albania,1992,4.3190022,-7.1871109,-28.002142,-9.5756397,9.8365488,-1.4200397,-.78784263,9.559412,8.3028669,13.322333,9.0999994,-10.919984,8.8300877
Argentina,1967,.51532221,3.1919966,-.65972614,,,,,4.8225007,9.6795263,3.0456433,5.6581311,1.6284165,2.811754
Argentina,1968,.47282472,4.8225007,3.1919966,-.65972614,,,,9.6795263,3.0456433,5.6581311,1.6284165,2.811754,5.5338044
Argentina,1976,.58663017,-2.0182514,-.028412104,5.5338044,2.811754,1.6284165,5.6581311,6.9341478,-4.506125,10.222763,1.5187839,-5.1897893,-.73565918
Argentina,1977,.32796147,6.9341478,-2.0182514,-.028412104,5.5338044,2.811754,1.6284165,-4.506125,10.222763,1.5187839,-5.1897893,-.73565918,4.3490934
Argentina,1983,1.5421331,4.3490934,-.73565918,-5.1897893,1.5187839,10.222763,-4.506125,1.5707387,-5.1890244,6.1533771,2.7048688,-1.0899334,-7.1569495
Argentina,1984,1.5324867,1.5707387,4.3490934,-.73565918,-5.1897893,1.5187839,10.222763,-5.1890244,6.1533771,2.7048688,-1.0899334,-7.1569495,-2.4672139
Argentina,1987,1.1027205,2.7048688,6.1533771,-5.1890244,1.5707387,4.3490934,-.73565918,-1.0899334,-7.1569495,-2.4672139,9.133111,7.9372916,8.2069788
Argentina,1989,1.2309605,-7.1569495,-1.0899334,2.7048688,6.1533771,-5.1890244,1.5707387,-2.4672139,9.133111,7.9372916,8.2069788,5.8362007,-2.8452096
Argentina,1991,.56249148,9.133111,-2.4672139,-7.1569495,-1.0899334,2.7048688,6.1533771,7.9372916,8.2069788,5.8362007,-2.8452096,5.52669,8.1110468
Argentina,1996,.38407704,5.52669,-2.8452096,5.8362007,8.2069788,7.9372916,9.133111,8.1110468,3.850179,-3.385457,-.78899896,-4.4088397,-10.894485
Argentina,2000,7.8590217,-.78899896,-3.385457,3.850179,8.1110468,5.52669,-2.8452096,-4.4088397,-10.894485,8.8370409,9.0295734,8.8516598,8.0471516
Armenia,1995,4.5330181,6.8999982,5.400003,-8.7999992,-41.800003,-11.699999,,5.8654008,3.3210797,7.3000002,3.3,5.9000001,9.5566416
Armenia,2009,9.5083933,-14.149988,6.9000001,13.749202,13.198004,13.865711,10.467842,2.2,4.6999998,7.1999998,3.3,3.5999999,3.2
Antigua and Barbuda,2010,8.9360676,-7.574357,-12.107536,-.030133268,9.2594204,12.728507,6.412405,-1.9586127,3.3728662,-.60087639,3.7957277,3.8252931,5.4977884
Azerbaijan,1995,2.907335,-11.8,-19.700001,-23.099998,-22.6,-.70000017,,1.2999995,5.8000002,10.000001,7.3999996,11.099999,9.9000006
Burundi,1965,2.5158029,,,,,,,4.6129928,13.821519,-.29788366,-1.4595412,21.32567,2.7468288
Burundi,1966,3.0221603,4.6129928,,,,,,13.821519,-.29788366,-1.4595412,21.32567,2.7468288,-6.403965
Burundi,1967,3.3651688,13.821519,4.6129928,,,,,-.29788366,-1.4595412,21.32567,2.7468288,-6.403965,6.8890505
Burundi,1968,3.2751091,-.29788366,13.821519,4.6129928,,,,-1.4595412,21.32567,2.7468288,-6.403965,6.8890505,-.72683954
Burundi,1969,2.1029863,-1.4595412,-.29788366,13.821519,4.6129928,,,21.32567,2.7468288,-6.403965,6.8890505,-.72683954,.69792026
Burundi,1970,.61796403,21.32567,-1.4595412,-.29788366,13.821519,4.6129928,,2.7468288,-6.403965,6.8890505,-.72683954,.69792026,7.9426608
Burundi,1976,1.6735457,7.9426608,.69792026,-.72683954,6.8890505,-6.403965,2.7468288,11.469453,-.94057602,1.6649549,.99105573,12.163276,-1.0535998
Burundi,1986,4.9680324,3.2501805,11.78318,.155544,3.715327,-1.0535998,12.163276,5.5030961,5.0310245,1.3495022,3.4998221,4.9968367,1.0099983
Bangladesh,1974,.30035952,9.5919561,3.3256803,-13.973729,-5.4794831,5.6198521,1.2208579,-4.0882139,5.6613612,2.6730561,7.0738378,4.8016348,.81914186
Bangladesh,1975,.39018327,-4.0882139,9.5919561,3.3256803,-13.973729,-5.4794831,5.6198521,5.6613612,2.6730561,7.0738378,4.8016348,.81914186,7.2339435
Bangladesh,1979,.70553827,4.8016348,7.0738378,2.6730561,5.6613612,-4.0882139,9.5919561,.81914186,7.2339435,2.1343279,3.8810463,4.8033099,3.3420146
Bangladesh,1983,.41523781,3.8810463,2.1343279,7.2339435,.81914186,4.8016348,7.0738378,4.8033099,3.3420146,4.1733828,3.7724018,2.4162569,2.8365822
Bangladesh,1985,.82034653,3.3420146,4.8033099,3.8810463,2.1343279,7.2339435,.81914186,4.1733828,3.7724018,2.4162569,2.8365822,5.6222582,3.4852278
Bulgaria,1991,3.4880321,-8.4453554,-9.1173773,-3.2898822,10.944692,6.0545139,4.207602,-7.272388,-1.4802148,1.8180113,2.8601894,.70468068,-1.0888202
Bulgaria,1992,2.1090522,-7.272388,-8.4453554,-9.1173773,-3.2898822,10.944692,6.0545139,-1.4802148,1.8180113,2.8601894,.70468068,-1.0888202,6.348979
Bulgaria,1994,2.0592442,1.8180113,-1.4802148,-7.272388,-8.4453554,-9.1173773,-3.2898822,2.8601894,.70468068,-1.0888202,6.348979,-8.4081345,4.7657709
Bulgaria,1996,4.7657423,.70468068,2.8601894,1.8180113,-1.4802148,-7.272388,-8.4453554,-1.0888202,6.348979,-8.4081345,4.7657709,3.7702179,5.9375162
Bulgaria,1997,4.5644073,-1.0888202,.70468068,2.8601894,1.8180113,-1.4802148,-7.272388,6.348979,-8.4081345,4.7657709,3.7702179,5.9375162,5.1562185
Bulgaria,2002,1.9092683,5.9375162,3.7702179,4.7657709,-8.4081345,6.348979,-1.0888202,5.1562185,6.4353585,7.1235113,6.8743582,7.3444219,6.0218835
