Country,year,IMFsizeGDP,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
ANGOLA      ,2009,1.783608185996402,2.1188736,10.585403,13.105202,10.928154,14.001369,10.393524,3.5004616,1.8406868,7.3570251,4.1257858,4.684639,
Albania,1992,3.26054273736479,-7.4717522,-32.853413,-10.065651,9.3823433,-1.4302254,-.79126358,9.1669083,7.973671,12.486744,8.7111473,-11.471367,8.6257935
Argentina,1976,.3999099772446396,-.011825562,-.59509277,5.2645683,3.6770821,2.0557404,3.6930084,6.1904907,-3.2754898,6.7818642,1.4432907,-5.5691719,-3.2123566
Argentina,1977,.2640957970285561,6.1904907,-.011825562,-.59509277,5.2645683,3.6770821,2.0557404,-3.2754898,6.7818642,1.4432907,-5.5691719,-3.2123566,4.0300369
Argentina,1983,1.393194334505847,4.0300369,-3.2123566,-5.5691719,1.4432907,6.7818642,-3.2754898,1.9856453,-7.2097778,6.899929,2.501297,-1.9721031,-7.2684288
Argentina,1984,.9158294580922769,1.9856453,4.0300369,-3.2123566,-5.5691719,1.4432907,6.7818642,-7.2097778,6.899929,2.501297,-1.9721031,-7.2684288,-1.3476372
Argentina,1987,1.140542417363326,2.501297,6.899929,-7.2097778,1.9856453,4.0300369,-3.2123566,-1.9721031,-7.2684288,-1.3476372,9.9809647,9.8074913,6.0640335
Argentina,1989,1.092083384408029,-7.2684288,-1.9721031,2.501297,6.899929,-7.2097778,1.9856453,-1.3476372,9.9809647,9.8074913,6.0640335,5.6722641,-2.8864861
Argentina,1991,.542897440848503,9.9809647,-1.3476372,-7.2684288,-1.9721031,2.501297,6.899929,9.8074913,6.0640335,5.6722641,-2.8864861,5.3792953,7.7988625
Argentina,1996,.350816716535933,5.3792953,-2.8864861,5.6722641,6.0640335,9.8074913,9.9809647,7.7988625,3.7779808,-3.4440994,-.79212189,-4.5089722,-11.534882
Argentina,2000,7.15324771407919,-.79212189,-3.4440994,3.7779808,7.7988625,5.3792953,-2.8864861,-4.5089722,-11.534882,8.4681511,8.6448669,8.8252068,8.0429077
Argentina,2003,9.660074111418789,8.4681511,-11.534882,-4.5089722,-.79212189,-3.4440994,3.7779808,8.6448669,8.8252068,8.0429077,7.6642036,3.0286789,.049972534
ARMENIA     ,1995,5.069012956958342,6.6641808,5.1900864,-9.2233658,-54.053593,-12.418938,,5.7325363,3.2670975,7.0833206,3.2032967,5.7284355,9.1272354
ARMENIA     ,2009,9.673051217104574,-15.256786,6.7169189,12.882614,12.396812,12.985039,9.9554062,2.190876,4.5458794,6.9201469,3.4090042,3.3789635,
Antigua and Barbuda,2010,9.074393483908711,-7.4569702,-12.824345,.071191788,9.0744019,12.554216,5.9054852,-1.7637253,3.9408684,-.14901161,4.1697979,,
AZERBAIJAN  ,1995,3.597712637641766,-12.576103,-21.883965,-26.266861,-25.618362,-.7024765,,1.2462616,5.643177,9.499073,7.135582,10.520935,9.442234
BANGLADESH  ,1975,.4952331426524484,-4.1741371,9.1593742,3.2715797,-15.051746,-5.6353569,7.964325,5.506897,2.6379585,6.8348885,4.6898842,.81586838,3.3380508
BANGLADESH  ,1979,.6942258482125066,4.6898842,6.8348885,2.6379585,5.506897,-4.1741371,9.1593742,.81586838,3.3380508,1.2226105,4.7776222,5.2835464,2.9673576
BANGLADESH  ,1983,.33834196863927,4.7776222,1.2226105,3.3380508,.81586838,4.6898842,6.8348885,5.2835464,2.9673576,4.2482376,4.0964127,2.8499603,2.4884224
BANGLADESH  ,1985,.7986722752753436,2.9673576,5.2835464,4.7776222,1.2226105,3.3380508,.81586838,4.2482376,4.0964127,2.8499603,2.4884224,6.4170837,3.3432961
Bulgaria,1991,20.6057173181659,-8.8233948,-9.5601082,-3.3452988,10.386181,5.8783531,4.1214943,-7.5285912,-1.4914513,1.8018723,2.820015,-9.8684311,-1.0947227
Bulgaria,1992,2.711303257692397,-7.5285912,-8.8233948,-9.5601082,-3.3452988,10.386181,5.8783531,-1.4914513,1.8018723,2.820015,-9.8684311,-1.0947227,3.4042358
Bulgaria,1994,2.714771333987987,1.8018723,-1.4914513,-7.5285912,-8.8233948,-9.5601082,-3.3452988,2.820015,-9.8684311,-1.0947227,3.4042358,-6.1981201,4.8894882
Bulgaria,1996,6.060270146465538,-9.8684311,2.820015,1.8018723,-1.4914513,-7.5285912,-8.8233948,-1.0947227,3.4042358,-6.1981201,4.8894882,4.1602135,5.8440208
Bulgaria,1997,5.005910361531525,-1.0947227,-9.8684311,2.820015,1.8018723,-1.4914513,-7.5285912,3.4042358,-6.1981201,4.8894882,4.1602135,5.8440208,4.9528122
Bulgaria,2002,2.004612586251879,5.8440208,4.1602135,4.8894882,-6.1981201,3.4042358,-1.0947227,4.9528122,6.349659,6.9863319,6.5348625,7.3950768,5.4933548
Bulgaria,2004,.5982831037406854,6.349659,4.9528122,5.8440208,4.1602135,4.8894882,-6.1981201,6.9863319,6.5348625,7.3950768,5.4933548,-4.3113708,.054550171
BOSNIA & HERZEGOVINA,1998,2.517376990370652,15.371895,31.218815,43.30759,18.89658,10.55479,-2.2054672,9.095192,5.2727699,2.6535034,4.9180031,3.8244247,6.1230659
BOSNIA & HERZEGOVINA,2002,1.369466879421043,4.9180031,2.6535034,5.2727699,9.095192,15.371895,31.218815,3.8244247,6.1230659,3.827095,5.5356026,5.5706024,5.3365707
BOSNIA & HERZEGOVINA,2009,9.036996162991207,-2.9118538,5.3365707,5.5706024,5.5356026,3.827095,6.1230659,.7642746,.90417862,-.93755722,2.3659706,1.2383461,
BOSNIA & HERZEGOVINA,2012,4.982433558069174,-.93755722,.90417862,.7642746,-2.9118538,5.3365707,5.5706024,2.3659706,1.2383461,,,,
Belarus,1995,2.771071763696156,-11.03487,-12.424374,-7.8619003,-10.141373,-1.3954163,,2.7386665,10.814857,8.1068039,3.3904076,5.6263924,4.6313286
Belarus,2009,6.977087829057248,.15077591,9.7533226,8.2064629,9.5523834,8.9727402,10.753059,7.4557304,5.3956032,1.730442,1.0038376,1.5869141,
Belize,1984,3.311520112981513,1.9631863,-2.1763802,-.28347969,1.3059616,4.2796135,3.7958145,1.0142803,4.497242,10.650349,8.7968826,12.238932,10.85906
BOLIVIA     ,1980,2.358670231797568,-1.3813019,.1332283,2.0319939,4.851532,4.511261,7.0561409,.92058182,-4.4570923,-4.565239,-.60338974,-.97007751,-2.5224686
BOLIVIA     ,1986,1.774180450045892,-2.5224686,-.97007751,-.60338974,-4.565239,-4.4570923,.92058182,2.5681496,2.91605,3.7203789,4.5309067,5.1300049,1.63517
BOLIVIA     ,2003,2.676995019913951,2.6752472,2.4551392,1.6697884,2.4768829,.42600632,4.9069405,4.0885925,4.3263435,4.6855927,4.4631958,5.9669495,3.3020973
