Country,year,Banking,Currency,Debt,Matched
Angola,1988,0.0,0.0,1.0,1.0
Angola,1991,0.0,1.0,0.0,1.0
Angola,1996,0.0,1.0,0.0,0.0
Albania,1990,0.0,0.0,1.0,1.0
Argentina,1980,1.0,0.0,0.0,1.0
Austria,2008,1.0,0.0,0.0,0.0
Burundi,1994,1.0,0.0,0.0,1.0
Belgium,2008,1.0,0.0,0.0,0.0
Belarus,1999,0.0,1.0,0.0,0.0
Brazil,1976,0.0,1.0,0.0,1.0
Brazil,1990,1.0,0.0,0.0,1.0
Brazil,1994,1.0,0.0,0.0,1.0
Botswana,1984,0.0,1.0,0.0,1.0
Central African Republic,1976,1.0,0.0,0.0,1.0
Switzerland,2008,1.0,0.0,0.0,1.0
Chile,1972,0.0,1.0,0.0,1.0
China,1998,1.0,0.0,0.0,0.0
"Congo, Dem. Rep.",1991,1.0,0.0,0.0,1.0
"Congo, Dem. Rep.",1994,1.0,1.0,0.0,0.0
"Congo, Dem. Rep.",1999,0.0,1.0,0.0,1.0
"Congo, Rep.",1992,1.0,0.0,0.0,1.0
Colombia,1982,1.0,0.0,0.0,1.0
Colombia,1985,0.0,1.0,0.0,1.0
Comoros,1994,0.0,1.0,0.0,0.0
Cabo Verde,1993,1.0,0.0,0.0,1.0
Czech Republic,1996,1.0,0.0,0.0,1.0
Germany,2008,1.0,0.0,0.0,1.0
Denmark,2008,1.0,0.0,0.0,1.0
Ecuador,2008,0.0,0.0,1.0,1.0
"Egypt, Arab Rep.",1984,0.0,0.0,1.0,1.0
Spain,1983,0.0,1.0,0.0,1.0
Spain,2008,1.0,0.0,0.0,0.0
Finland,1991,1.0,0.0,0.0,1.0
Finland,1993,0.0,1.0,0.0,1.0
Fiji,1998,0.0,1.0,0.0,1.0
France,2008,1.0,0.0,0.0,0.0
Gabon,2002,0.0,0.0,1.0,0.0
United Kingdom,2007,1.0,0.0,0.0,0.0
Georgia,1991,1.0,0.0,0.0,0.0
Georgia,1999,0.0,1.0,0.0,0.0
Ghana,1993,0.0,1.0,0.0,1.0
Guinea,1993,1.0,0.0,0.0,1.0
Guinea,2005,0.0,1.0,0.0,1.0
Guinea-Bissau,1980,0.0,1.0,0.0,0.0
Greece,1983,0.0,1.0,0.0,1.0
Greece,2008,1.0,0.0,0.0,1.0
Grenada,2004,0.0,0.0,1.0,1.0
Guatemala,1986,0.0,1.0,0.0,1.0
Guyana,1982,0.0,0.0,1.0,0.0
Guyana,1987,0.0,1.0,0.0,1.0
Haiti,2003,0.0,1.0,0.0,1.0
Indonesia,1979,0.0,1.0,0.0,1.0
India,1993,1.0,0.0,0.0,1.0
Ireland,2008,1.0,0.0,0.0,1.0
"Iran, Islamic Rep.",1985,0.0,1.0,0.0,0.0
"Iran, Islamic Rep.",1992,0.0,0.0,1.0,0.0
"Iran, Islamic Rep.",2000,0.0,1.0,0.0,1.0
Israel,1980,0.0,1.0,0.0,1.0
Israel,1985,0.0,1.0,0.0,1.0
Italy,1981,0.0,1.0,0.0,1.0
Italy,2008,1.0,0.0,0.0,1.0
Jamaica,1996,1.0,0.0,0.0,1.0
Japan,1997,1.0,0.0,0.0,1.0
Kazakhstan,2008,1.0,0.0,0.0,1.0
Kuwait,1982,1.0,0.0,0.0,0.0
Lao PDR,1997,0.0,1.0,0.0,1.0
Liberia,1991,1.0,0.0,0.0,0.0
Lesotho,1985,0.0,1.0,0.0,1.0
Luxembourg,2008,1.0,0.0,0.0,1.0
Moldova,2002,0.0,0.0,1.0,0.0
Madagascar,1994,0.0,1.0,0.0,1.0
Madagascar,2004,0.0,1.0,0.0,0.0
Mali,1994,0.0,1.0,0.0,1.0
Malta,1984,1.0,0.0,0.0,1.0
Malta,1993,0.0,1.0,0.0,1.0
Myanmar,1990,0.0,1.0,0.0,1.0
Myanmar,1996,0.0,1.0,0.0,1.0
Myanmar,2001,0.0,1.0,0.0,1.0
Malaysia,1997,1.0,0.0,0.0,1.0
Nigeria,1983,0.0,1.0,1.0,0.0
Nigeria,1997,0.0,1.0,0.0,1.0
Nigeria,2009,1.0,0.0,0.0,0.0
Nicaragua,1985,0.0,1.0,0.0,1.0
Nicaragua,2000,1.0,0.0,0.0,1.0
Netherlands,2008,1.0,0.0,0.0,1.0
Norway,1991,1.0,0.0,0.0,1.0
New Zealand,1984,0.0,1.0,0.0,1.0
Panama,1988,1.0,0.0,0.0,1.0
Peru,1988,0.0,1.0,0.0,1.0
Philippines,1997,1.0,0.0,0.0,1.0
Portugal,2008,1.0,0.0,0.0,1.0
Paraguay,1982,0.0,0.0,1.0,0.0
Paraguay,1984,0.0,1.0,0.0,1.0
Paraguay,1989,0.0,1.0,0.0,1.0
Paraguay,1995,1.0,0.0,0.0,1.0
Russian Federation,2008,1.0,0.0,0.0,1.0
Sudan,1988,0.0,1.0,0.0,0.0
