Country,year,CAB,Infl,EXDEBT,LogInfl,AmountDrawnPercentAgreed,AmountAgreedPercentGDP,Shortterm,simple_conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6
Afghanistan,1965,,,,,1,.67052984,1,,,,,,,,,,,,,
Afghanistan,1966,,,,,1,.5714286,1,,,,,,,,,,,,,
Afghanistan,1968,,,,,1,.5097087,1,,,,,,,,,,,,,
Afghanistan,1969,,,,,.83333331,.851735,1,,,,,,,,,,,,,
Afghanistan,1973,,,3.877740000999383,,1,.68776816,1,,,,,,,,,,,,,
Afghanistan,1975,,,3.559632352941173,,1,.43606696,1,,,,,,,,,,,,,
Afghanistan,2006,,6.78459655001657,13.79183197525619,1.9146549,.93024689,1.7094514,0,49,5.3574033,11.229714,1.4141179,8.8322783,,,13.82632,3.9249837,21.390528,14.362441,.4263548,12.752287
Afghanistan,2011,-14.14129463383414,11.8041858089129,14.7750027931415,2.4684541,.28235295,.75368416,0,60,.4263548,14.362441,21.390528,3.9249837,13.82632,5.3574033,12.752287,5.6007447,2.7245433,1.4513147,2.2603142,2.6470032
Afghanistan,2016,-17.16067263345303,4.38389195513914,13.34467558615817,1.4779369,.27794936,.24979284,0,,2.2603142,1.4513147,2.7245433,5.6007447,12.752287,.4263548,2.6470032,1.1892282,3.9116035,,,
Angola,2009,-10.76938870744637,13.7302839288409,31.77558842905568,2.6196039,1,1.8825516,1,50,.85871261,11.166139,14.010018,11.547683,15.028915,10.952862,4.4039326,3.4719763,8.5421877,4.9545445,4.8226275,.94357157
Angola,2018,7.000035352838093,20.1903737898382,53.99826311168989,3.0052059,.2674897,3.733984,0,,-2.0036297,-.14721294,-2.5800498,.94357157,4.8226275,4.9545445,-.62464434,,,,,
Albania,1992,-7.773987152575125,226.005421253526,101.4813136741465,5.4205589,.65625,4.3190022,1,47,-7.1871109,-28.002142,-9.5756397,9.8365488,-1.4200397,-.78784263,9.559412,8.3028669,13.322333,9.0999994,-10.919984,8.8300877
Albania,1993,1.257049316948631,85.0047512387157,66.9925024779222,4.4427071,.73323888,4.990109,0,66,9.559412,-7.1871109,-28.002142,-9.5756397,9.8365488,-1.4200397,8.3028669,13.322333,9.0999994,-10.919984,8.8300877,12.889896
Albania,1998,-2.555806635656881,20.6428588670596,23.77674746556574,3.0273695,1,2.3996406,0,72,8.8300877,-10.919984,9.0999994,13.322333,8.3028669,9.559412,12.889896,6.950036,8.2900696,4.5399609,5.5300508,5.5099988
Albania,2002,-9.372433850361936,7.77052583431549,26.51030905914473,2.0503378,1,.83382916,0,54,4.5399609,8.2900696,6.950036,12.889896,8.8300877,-10.919984,5.5300508,5.5099988,5.5299149,5.900084,5.9799819,7.4999695
