Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DWDI,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Angola,1988,AGO,-5.348233550176317,,94.06697249725595,29620.779,11.513968,.27589461,.25714123,0,0,0,1,Africa,,-1.1415477,0,6.1288905,4.0827484,2.9000018,3.4999995,6.0000024,4.2000012,.041621462,-3.4500988,.99135929,-5.8382807,-23.983418,1.3393635,15,0
Angola,1991,AGO,-5.465973000000003,83.7837837837838,84.87860559437586,30432.631,12.553446,.29381669,.23139445,0,0,1,0,Africa,,-1.1415477,0,.99135929,-3.4500988,.041621462,6.1288905,4.0827484,2.9000018,-5.8382807,-23.983418,1.3393635,15,13.54437,7.2742772,4.6911464,0
Angola,1996,AGO,43.39867365305754,4145.10598220638,180.8988306742185,44838.223,14.682284,.081474282,.26315057,0,0,1,0,Africa,,-1.1415477,0,13.54437,15,1.3393635,-23.983418,-5.8382807,.99135929,7.2742772,4.6911464,2.1814897,3.0546243,4.2059984,13.665687,2.98985,0
Angola,2015,AGO,-8.841138891882899,10.278046066107,51.02393293341658,147587.11,27.859304,.1803513,.26737425,0,0,1,0,Africa,,-1.1415477,,.94357562,4.8226256,4.9545903,8.5421476,3.4719813,4.8592196,-2.5800972,-.14720742,-2.1334932,,,,,0
Albania,1997,ALB,-12.0536027638666,33.1802743753956,22.37511503653892,11601.545,3.0930409,.36799982,.31272879,0,0,1,0,Europe,2.3996406,-.33529902,88,-10.919984,9.0999994,13.322333,8.3028669,9.559412,-7.1871109,8.8300877,12.889896,6.950036,8.2900696,4.5399609,5.5300508,5.5099988,1
Argentina,1975,ARG,,,,102031.09,26.066975,.074291028,.40636,0,0,1,0,LatAm,.58663017,-.057861075,,-.028412104,5.5338044,2.811754,1.6284165,5.6581311,3.0456433,-2.0182514,6.9341478,-4.506125,10.222763,1.5187839,-5.1897893,-.73565918,1
Argentina,1980,ARG,-6.20306739733683,,,117425.09,28.105888,.078356616,.37520802,0,1,0,0,LatAm,,-.057861075,0,1.5187839,10.222763,-4.506125,6.9341478,-2.0182514,-.028412104,-5.1897893,-.73565918,4.3490934,1.5707387,-5.1890244,6.1533771,2.7048688,0
Argentina,1987,ARG,-3.811668772216932,,,159478.36,31.326473,.088936284,.51784861,0,0,1,0,LatAm,1.1027205,-.057861075,74,2.7048688,6.1533771,-5.1890244,1.5707387,4.3490934,-.73565918,-1.0899334,-7.1569495,-2.4672139,9.133111,7.9372916,8.2069788,5.8362007,1
Argentina,1989,ARG,-1.702835100892205,,,164297.23,32.263561,.11586561,.49259496,0,1,0,0,LatAm,1.2309605,-.057861075,70,-7.1569495,-1.0899334,2.7048688,6.1533771,-5.1890244,1.5707387,-2.4672139,9.133111,7.9372916,8.2069788,5.8362007,-2.8452096,5.52669,1
Argentina,1995,ARG,-1.983460273509299,,,381883.38,34.994816,.14586806,.98180592,0,1,0,0,LatAm,.38407704,-.057861075,66,-2.8452096,5.8362007,8.2069788,7.9372916,9.133111,-2.4672139,5.52669,8.1110468,3.850179,-3.385457,-.78899896,-4.4088397,-10.894485,1
Argentina,2001,ARG,-1.406947885001806,,,444805.72,37.471508,.13406843,.88727665,0,1,0,1,LatAm,2.8837535,-.057861075,86,-4.4088397,-.78899896,-3.385457,3.850179,8.1110468,5.52669,-10.894485,8.8370409,9.0295734,8.8516598,8.0471516,9.0076513,4.0572333,1
Argentina,2013,ARG,-2.377495666205737,,,727663.44,42.539925,.13372542,.85869569,0,0,1,0,LatAm,,-.057861075,0,2.4053237,-1.0264205,6.0039515,10.125398,-5.9185252,4.0572333,-2.5126152,2.7311599,-2.0803277,2.6685903,-2.4817924,,,0
Armenia,1994,ARM,-7.891063059157713,3373.75944336293,16.30340675597108,8314.5938,3.2836599,.41301271,.23396645,0,1,0,0,Europe,4.5330181,-.18081316,104,5.400003,-8.7999992,-41.800003,-11.699999,,,6.8999982,5.8654008,3.3210797,7.3000002,3.3,5.9000001,9.5566416,1
Austria,2008,AUT,4.486714125768346,3.21595022953491,,357689.31,8.3384533,.16037489,2.301075,1,1,0,0,Rich,,1.7136425,0,1.4604237,3.7274153,3.4540417,2.2440653,2.7351203,.94147092,-3.7645781,1.8370937,2.9227972,.68044555,.025504712,.66127282,1.0145016,0
Azerbaijan,1995,AZE,-13.12544677592843,411.759641777268,10.56253758429517,17800.088,7.7754259,.43802923,.20596647,0,1,0,0,MidEast,2.907335,-.64131308,166,-11.8,-19.700001,-23.099998,-22.6,-.70000017,,1.2999995,5.8000002,10.000001,7.3999996,11.099999,9.9000006,9.4389162,1
Azerbaijan,2015,AZE,-.4192128683102826,4.00943826686826,26.3491372556908,141072.58,9.6174841,.13302509,.74032521,0,0,1,0,MidEast,,-.64131308,,1.050751,2.7972894,5.8426733,2.202939,-1.5729976,4.7888327,-3.0641999,-.28201121,1.4128735,,,,,0
Burundi,1994,BDI,-1.825256767291533,14.852814983397,123.3950431538047,4515.2803,5.8716068,.10786016,.071055628,0,1,0,0,Africa,,-1.2796288,0,-3.8299999,-6.2399998,1.0099983,4.9968367,3.4998221,1.3495022,-7.9200001,-8,-1.59,4.75,-1.01,-.85686404,2.0558071,0
Belgium,2008,BEL,-.8263234093772368,4.48944420508401,,427704.09,10.779173,.18972814,2.1284738,1,1,0,0,Rich,,1.6020942,0,.44691655,3.6769183,2.5523539,2.3217373,3.571193,1.037953,-2.0207257,2.8642852,1.6944975,.73922992,.45922804,1.5785233,2.032789,0
Benin,1988,BEN,-6.510923687098193,,73.34661742322032,6212.6699,4.672852,.14136392,.1328913,0,1,0,0,Africa,1.869354,-.4842276,24,3.4052453,-1.500003,2.1711416,7.5303249,7.9298396,-4.3478227,-2.8541605,8.9761343,4.2257996,2.9577107,5.8361721,2.0204005,6.0451984,1
Burkina Faso,1990,BFA,,-.504303388918915,26.94522547898641,8020.2842,8.8110342,.16709429,.085065,0,1,0,0,Africa,.96532971,-.62323701,44,-.60292846,2.1502674,5.7955928,-.2363368,7.9553628,8.5173655,9.0699844,.23271076,3.461385,1.3150073,5.7163739,11.014744,6.3168349,1
Bangladesh,1987,BGD,-.9758650692823827,9.87469609126641,39.1603036422247,118454.85,98.343811,.13929662,.12252321,0,1,0,0,Asia,1.0709995,-.73224235,53,3.7724018,4.1733828,3.3420146,4.8033099,3.8810463,2.1343279,2.4162569,2.8365822,5.6222582,3.4852278,5.4426856,4.7115617,3.8901265,1
Bulgaria,1990,BGR,-8.288059642304795,23.8000000000003,57.3261240943265,89570.336,8.8413706,.48637664,.9467442,0,0,0,1,Europe,3.4880321,.1073689,58,-9.1173773,-3.2898822,10.944692,6.0545139,4.207602,2.6834407,-8.4453554,-7.272388,-1.4802148,1.8180113,2.8601894,.70468068,-1.0888202,1
Bulgaria,1996,BGR,.1288476265165844,121.60754244925,87.95088325825859,59801.703,8.291872,.26897842,.62145615,0,1,1,0,Europe,4.7657423,.1073689,158,.70468068,2.8601894,1.8180113,-1.4802148,-7.272388,-8.4453554,-1.0888202,6.348979,-8.4081345,4.7657709,3.7702179,5.9375162,5.1562185,1
Bosnia and Herzegovina,1992,BIH,,,,5171.4561,4.2391539,.55500489,.11562835,0,1,0,0,Europe,,-.69180512,0,,,,,,,,,20.800001,88.957664,34.389576,15.599997,9.5999994,0
