Country,year,pop,Gshare,GDPRank,CAB,EXDEBT,ToT,Infl,Fcast5,Fcast4,Fcast3,Fcast2,Fcast1,nowcast,Banking,Currency,Debt,CPIA,RateRegime,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,GrowthFall,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,IMF
ANGOLA      ,1988,10.544904,.085559294,.28997901,-5.344658438253592,115.276827823256,96.6733664339697,.018329972,,,,,,,0,0,1,,15,5.4231644,6.7667007,3.1262398,3.4401894,5.8268547,4.1142464,,.3862381,-.44517517,.98648071,-6.0156822,-27.421856,0
ANGOLA      ,1991,11.472173,.10118969,.22321588,-5.321600887839563,106.7699236867578,61.74814749889551,1.7572,,,,,,,0,1,0,1.6,14,.98648071,-.44517517,.3862381,5.4231644,6.7667007,3.1262398,-3.968811,-6.0156822,-27.421856,1.330471,13.976192,12.70237,0
ANGOLA      ,1996,13.424813,.026360657,.26853126,49.97950634437458,132.818509647294,57.42244222531107,16.508251,,5.0017695,5.4568734,6.0296955,4.2757955,7.529047,0,1,0,1.447,14,12.70237,13.976192,1.330471,-27.421856,-6.0156822,.98648071,11.823273,7.021904,4.5844078,2.1580696,3.0088425,3.0917168,0
Albania,1990,3.281453,.14506684,.36973414,-4.312942349278185,3.955623373879371,164.22372563077,-2.1966845e-16,,,,,,,0,0,1,,15,-10.065651,9.3823433,-1.4302254,-.79126358,5.4437637,1.7649651,-11.830711,-32.853413,-7.4717522,9.1669083,7.973671,12.486744,0
Albania,1994,3.140634,.20634168,.36265287,-3.706181270986737,46.59709349985182,80.20084198834637,.1582,,5.0000072,4.9999976,4.9999938,4.9999986,7.999999,1,0,0,,13,7.973671,9.1669083,-7.4717522,-32.853413,-10.065651,9.3823433,-1.4087677,12.486744,8.7111473,-11.471367,8.6257935,12.664318,0
Albania,1997,3.092471,.24942596,.34588021,-13.0465060065164,38.1877724141248,88.84071097583566,.42074227,,6.5000105,7,7.4999986,9.999999,-9.9999981,0,1,0,,14,-11.471367,8.7111473,12.486744,7.973671,9.1669083,-7.4717522,-3.9989471,8.6257935,12.664318,6.4145088,7.6406479,4.1442871,1
Argentina,1975,26.066975,.074891768,.42727837,-1.653298524334688,11.33473382879877,135.714174293875,,,,,,,,0,1,0,,14,-.59509277,5.2645683,3.6770821,2.0557404,3.6930084,3.1466484,-3.0284882,-.011825562,6.1904907,-3.2754898,6.7818642,1.4432907,1
Argentina,1980,28.105889,.078421526,.40215442,-1.135807959594616,11.98837960182691,125.1645586313517,,,,,,,,1,0,0,,5,1.4432907,6.7818642,-3.2754898,6.1904907,-.011825562,-.59509277,4.0962219,-5.5691719,-3.2123566,4.0300369,1.9856453,-7.2097778,0
Argentina,1987,31.326473,.089332484,.56785202,-3.593408019623533,46.24347075057445,75.9026712832904,,,,,,,,0,1,0,,14,2.501297,6.899929,-7.2097778,1.9856453,4.0300369,-3.2123566,7.9528809,-1.9721031,-7.2684288,-1.3476372,9.9809647,9.8074913,1
Argentina,1989,32.263559,.11588304,.53827339,1.236347189199743,67.43621578076548,76.45287310284982,,,,,,,,1,0,0,,14,-7.2684288,-1.9721031,2.501297,6.899929,-7.2097778,1.9856453,-9.9796295,-1.3476372,9.9809647,9.8074913,6.0640335,5.6722641,1
