Country,year,Country_code,GDPCAP,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6
Angola,1988,AGO,2989.616315754897,0,0,0,1,0,2916.7947,2902.6165,2922.218,2925.3662,2859.9167,2889.884,2697.491,2635.1555,2401.2346,1767.026,1733.843
Angola,1991,AGO,2635.155549517923,0,0,1,0,0,2697.491,2889.884,2989.6162,2916.7947,2902.6165,2401.2346,1767.026,1733.843,1930.7997,2122.968,2205.2937
Angola,1996,AGO,2122.968016418641,0,0,1,0,0,1930.7997,1733.843,1767.026,2401.2346,2635.1555,2205.2937,2235.3904,2211.1296,2205.2048,2223.3347,2444.4177
Angola,2015,AGO,3748.320252138409,0,0,1,0,0,3843.1987,3796.8813,3748.4517,3579.96,3587.8835,3530.311,3409.928,3233.9036,3111.1572,,
Albania,1997,ALB,1676.127107082713,0,0,1,0,1,1869.8658,1703.2819,1493.7859,1370.826,1243.6058,1835.6467,2085.426,2244.6245,2453.6245,2572.7214,2725.1714
Argentina,1975,ARG,7617.943445805621,0,0,1,0,1,7740.855,7453.7544,7368.5068,7368.0767,7084.1807,7350.8286,7743.5825,7285.4414,7910.3638,7908.0215,7380.6753
Argentina,1980,ARG,7908.021484256691,0,1,0,0,0,7910.3638,7285.4414,7743.5825,7350.8286,7617.9434,7380.6753,7210.3467,7403.7266,7399.8882,6904.644,7214.2705
Argentina,1987,ARG,7294.065191594811,0,0,1,0,1,7214.2705,6904.644,7399.8882,7403.7266,7210.3467,7104.1836,6497.4248,6245.709,6721.2778,7157.3296,7644.2373
Argentina,1989,ARG,6497.424939015438,0,1,0,0,1,7104.1836,7294.0654,7214.2705,6904.644,7399.8882,6245.709,6721.2778,7157.3296,7644.2373,7988.6455,7666.5303
Argentina,1995,ARG,7666.530444493988,0,1,0,0,1,7988.6455,7644.2373,7157.3296,6721.2778,6245.709,7994.2427,8543.0264,8772.0654,8381.2539,8224.1104,7776.1396
Argentina,2001,ARG,7776.139540960964,0,1,0,1,1,8224.1104,8381.2539,8772.0654,8543.0264,7994.2427,6854.2954,7380.4673,7962.4126,8577.8662,9174.5029,9901.5098
Argentina,2013,ARG,10784.63069920566,0,0,1,0,0,10649.837,10883.315,10385.965,9502.2441,10201.477,10398.694,10568.158,10239.481,10419.455,10049.556,9742.4551
Armenia,1994,ARM,955.5919081159268,0,1,0,0,1,885.21619,948.15948,1600.1249,1795.2877,,1042.5831,1120.8527,1171.063,1266.4091,1316.5313,1403.0286
Austria,2008,AUT,48100.36703112544,1,1,0,0,0,47556.648,45996.57,44681.406,43999.469,43094.609,46168.492,46903.762,48112.211,48219.238,47948.102,47889.43
