Country,year,Country_code,CAB,Infl,EXDEBT,rgdpe,pop,Gshare,GDPRank,advecon,Banking,Currency,Debt,Region,AmountAgreedPercentGDP,WGI,conditions,DPWT,LGrowth1,LGrowth2,LGrowth3,LGrowth4,LGrowth5,FGrowth1,FGrowth2,FGrowth3,FGrowth4,FGrowth5,FGrowth6,FGrowth7,IMF
Angola,1988,AGO,-5.348233550176317,,94.06697249725595,29620.779,11.513968,.27589461,.25714123,0,0,0,1,Africa,,-1.1415477,0,5.5728807,7.0003715,3.1761677,3.4999988,6.0000062,4.1999955,.38747206,-.44464239,.99136549,-5.8382874,-23.983414,1.3393556,15.000001,0
Angola,1991,AGO,-5.465973000000003,83.7837837837838,84.87860559437586,30432.631,12.553446,.29381669,.23139445,0,0,1,0,Africa,,-1.1415477,0,.99136549,-.44464239,.38747206,5.5728807,7.0003715,3.1761677,-5.8382874,-23.983414,1.3393556,15.000001,13.544374,7.2742753,4.6911502,0
Angola,1996,AGO,43.39867365305754,4145.10598220638,180.8988306742185,44838.223,14.682284,.081474282,.26315057,0,0,1,0,Africa,,-1.1415477,0,13.544374,15.000001,1.3393556,-23.983414,-5.8382874,.99136549,7.2742753,4.6911502,2.181484,3.0546324,3.139991,14.530006,2.9898431,0
Angola,2015,AGO,-8.841138891882899,10.278046066107,51.02393293341658,147587.11,27.859304,.1803513,.26737425,0,0,1,0,Africa,,-1.1415477,,.94357395,4.8226299,4.9545889,8.5421486,3.4719832,4.8592129,-2.5800941,-2.5000041,,,,,,0
Albania,1997,ALB,-12.0536027638666,33.1802743753956,22.37511503653892,11601.545,3.0930409,.36799982,.31272879,0,0,1,0,Europe,2.3996406,-.33529902,88,-10.837855,9.1017399,13.322328,8.3028564,9.5594263,-7.1871142,8.8293514,12.890711,6.9462867,8.293293,4.5365667,5.5286345,5.5147977,1
Argentina,1975,ARG,,,,102031.09,26.066975,.074291028,.40636,0,0,1,0,LatAm,.58663017,-.057861075,,-.59304625,5.4059114,3.7441428,2.0776997,3.7611604,3.1967058,-.011169443,6.384429,-3.2212029,7.0171294,1.4531703,-5.4169536,-3.1612439,1
Argentina,1980,ARG,-6.20306739733683,,,117425.09,28.105888,.078356616,.37520802,0,1,0,0,LatAm,,-.057861075,0,1.4531703,7.0171294,-3.2212029,6.384429,-.011169443,-.59304625,-5.4169536,-3.1612439,4.1123505,2.0054946,-6.9560847,7.14362,2.5327818,0
Argentina,1987,ARG,-3.811668772216932,,,159478.36,31.326473,.088936284,.51784861,0,0,1,0,LatAm,1.1027205,-.057861075,74,2.5327818,7.14362,-6.9560847,2.0054946,4.1123505,-3.1612439,-1.9527417,-7.0105572,-1.338609,10.49603,10.304522,6.2516732,5.8362408,1
Argentina,1989,ARG,-1.702835100892205,,,164297.23,32.263561,.11586561,.49259496,0,1,0,0,LatAm,1.2309605,-.057861075,70,-7.0105572,-1.9527417,2.5327818,7.14362,-6.9560847,2.0054946,-1.338609,10.49603,10.304522,6.2516732,5.8362408,-2.8452578,5.5266724,1
Argentina,1995,ARG,-1.983460273509299,,,381883.38,34.994816,.14586806,.98180592,0,1,0,0,LatAm,.38407704,-.057861075,66,-2.8452578,5.8362408,6.2516732,10.304522,10.49603,-1.338609,5.5266724,8.1110592,3.850183,-3.3854599,-.78898656,-4.4088378,-10.894491,1
