CPIFRED,year
22.33166667,1947
24.045,1948
23.80916667,1949
24.0625,1950
25.97333333,1951
26.56666667,1952
26.76833333,1953
26.865,1954
26.79583333,1955
27.19083333,1956
28.11333333,1957
28.88083333,1958
29.15,1959
29.585,1960
29.90166667,1961
30.25333333,1962
30.63333333,1963
31.03833333,1964
31.52833333,1965
32.47083333,1966
33.375,1967
34.79166667,1968
36.68333333,1969
38.84166667,1970
40.48333333,1971
41.80833333,1972
44.425,1973
49.31666667,1974
53.825,1975
56.93333333,1976
60.61666667,1977
65.24166667,1978
72.58333333,1979
82.38333333,1980
90.93333333,1981
96.53333333,1982
99.58333333,1983
103.9333333,1984
107.6,1985
109.6916667,1986
113.6166667,1987
118.275,1988
123.9416667,1989
130.6583333,1990
136.1666667,1991
140.3083333,1992
144.475,1993
148.225,1994
152.3833333,1995
156.8583333,1996
160.525,1997
163.0083333,1998
166.5833333,1999
172.1916667,2000
177.0416667,2001
179.8666667,2002
184,2003
188.9083333,2004
195.2666667,2005
201.5583333,2006
207.3441667,2007
215.25425,2008
214.5646667,2009
218.0761667,2010
224.923,2011
229.5860833,2012
232.95175,2013
236.715,2014
236.9978333,2015
240.00775,2016
245.1341667,2017
251.1041667,2018
.,
