Country,year,Banking,Currency,Debt,Matched
Albania,1997,0.0,1.0,0.0,1
Argentina,1975,0.0,1.0,0.0,1
Argentina,1987,0.0,1.0,0.0,1
Argentina,1989,1.0,0.0,0.0,1
Argentina,1995,1.0,0.0,0.0,1
Argentina,2001,1.0,0.0,1.0,
Armenia,1994,1.0,0.0,0.0,
Azerbaijan,1995,1.0,0.0,0.0,
Benin,1988,1.0,0.0,0.0,1
Burkina Faso,1990,1.0,0.0,0.0,1
Bangladesh,1987,1.0,0.0,0.0,1
Bulgaria,1990,0.0,0.0,1.0,
Bulgaria,1996,1.0,1.0,0.0,
Belarus,1995,1.0,0.0,0.0,
Belarus,2009,0.0,1.0,0.0,1
Bolivia,1973,0.0,1.0,0.0,1
Bolivia,1980,0.0,0.0,1.0,1
Bolivia,1986,1.0,0.0,0.0,1
Bolivia,1994,1.0,0.0,0.0,1
Brazil,1982,0.0,1.0,0.0,1
Brazil,1987,0.0,1.0,0.0,1
Brazil,1992,0.0,1.0,0.0,1
Central African Republic,1994,0.0,1.0,0.0,1
Cote d'Ivoire,1984,0.0,0.0,1.0,
Cote d'Ivoire,1988,1.0,0.0,0.0,1
Cote d'Ivoire,1994,0.0,1.0,0.0,1
Cote d'Ivoire,2001,0.0,0.0,1.0,1
Cote d'Ivoire,2010,0.0,0.0,1.0,1
Cameroon,1987,1.0,0.0,0.0,1
Cameroon,1994,0.0,1.0,0.0,1
"Congo, Dem. Rep.",1976,0.0,1.0,1.0,
"Congo, Dem. Rep.",1983,1.0,1.0,0.0,
"Congo, Dem. Rep.",1989,0.0,1.0,0.0,1
"Congo, Dem. Rep.",2009,0.0,1.0,0.0,1
"Congo, Rep.",1986,0.0,0.0,1.0,
"Congo, Rep.",1994,0.0,1.0,0.0,1
Colombia,1998,1.0,0.0,0.0,1
Costa Rica,1981,0.0,1.0,1.0,
Costa Rica,1987,1.0,0.0,0.0,
Costa Rica,1991,0.0,1.0,0.0,1
Costa Rica,1994,1.0,0.0,0.0,1
Cyprus,2013,0.0,0.0,1.0,
Dominica,2002,0.0,0.0,1.0,1
Dominican Republic,1982,0.0,0.0,1.0,1
