Country,year,ID,weight,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,TotalWeight
Angola,1988,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0832561098927144e-22,0.0,0.22811615709374738,0.0,0.0,0.0,0.0,0.0,0.0,1.6073566259849088e-22,0.0,0.0,0.0813293835340791,0.038560155698423124,0.0,0.0,0.0,0.0,0.0,2.287346381468299e-22,0.0,0.0,0.0,0.0,0.0,2.834483465395337e-22,7.61782068965419e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1676823628664311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05466331473112655,0.0,0.0,0.0,0.0,0.0,0.21463487920461,0.0,0.0,0.0,0.31158547360930633,0.0,3.0302625444730103e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03980833172708827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9724014718782017e-7,0.0,0.26587675248917014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.827244558078913e-21,0.0,2.465591682755311e-23,0.0,0.0,0.059985348676087874,0.0,0.0,0.0,0.0,2.4913459503447175e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.924485266702901
Angola,1991,2,5.022684151462759e-21,0.01587361524894942,0.014061151038149826,0.0,0.0,0.0,0.0,0.0,0.0,0.0016519894545910913,0.0,0.0,0.0,0.005378117846415026,3.0937106911598304e-19,0.01033036875672671,8.526220813674018e-23,0.0,0.0,0.006676068014957661,0.0,0.0,0.0,0.0034262431654975495,0.0,5.628090890313487e-20,1.5128622528702026e-20,0.0,6.894836026434449e-11,0.0,0.0,0.013373298845319211,0.0,0.0,0.0,0.028047575011206662,0.03258500218317557,0.018636926478280805,0.01842745694591235,0.0,0.009435654165286194,0.049924068708528294,0.0,0.02157582695157872,0.02899949110147863,0.030825336370392,5.169018560619368e-19,6.780599230571189e-5,0.0,0.018343510208612093,0.0,0.0,0.0,0.0,0.0033397631816931782,3.599477922351536e-21,0.02172423678296482,0.0,2.8553076554307445e-5,0.0,0.0,8.095451687319974e-20,0.0,0.0,0.02420152687510706,0.0,0.0,0.0,0.017206936494499493,0.0,1.499689059677245e-21,0.0,1.009570725414216e-5,0.0,0.0,2.1546852405156945e-21,6.807457307395205e-20,0.0,0.0,0.0,2.4668262777129283e-21,5.423372854504844e-20,0.0,0.0,1.2523223115557118e-20,1.5672029763412894e-19,4.513529789471876e-22,0.0,0.01639830502766874,0.0,0.011510584118385962,0.0,0.0,0.007749067699109022,2.7182226053147248e-21,0.008425284682964773,0.0,7.614927189017051e-21,0.0,0.021081744068292798,0.0,0.0,0.02595820144610065,0.0,1.7685805596456408e-7,0.0,6.479031298546343e-21,9.870918812527103e-20,0.0,0.0,0.0,0.0,0.004144160632081505,0.0,0.0,1.0382540051287653e-20,6.127661494387064e-22,1.0438066265702158e-21,0.0,0.0,0.026839960244808322,0.0,0.019954209700292335,1.4885395320288902e-8,6.151717574496872e-20,0.0,4.3155897341539e-18,2.415720130201566e-20,0.03789844956220494,1.1482215551994905
Angola,1996,3,1.6721113718234412e-21,0.01861218015750255,0.024966881073138922,0.0,0.0,0.0,0.0,0.0,0.0,0.014332250751418908,0.0,0.0,0.0,0.008235192791211104,0.009622931352226811,0.024089547044935933,0.014568139683384633,0.0,0.0,0.027300799366961354,0.0,0.0,0.0,0.008960660408643394,0.0,0.0034206343819758525,1.2089662476709007e-21,0.0,3.605630255955403e-14,0.0,0.0,0.016553942704917425,0.0,0.0,0.0,1.70473358552173e-6,8.123705537800743e-19,0.00944615652322243,0.03529545687099764,0.0,0.015593741122655602,0.039123354135650185,0.0,6.759322919089317e-19,0.025569276131623946,3.29389769732005e-6,3.5154297298774266e-22,2.3310346708438345e-18,0.0,0.016197390713248595,0.0,0.0,0.0,0.0,7.860726655840745e-9,0.040876516388969636,0.0046617995895234104,0.0,1.7940685621444046e-5,0.0,0.0,2.7259780156368543e-18,0.0,0.0,0.010643691841373327,0.0,0.0,0.0,3.536895151266115e-20,0.0,0.014560467173851222,0.0,0.02393735847680086,0.0,0.0,0.1075250503672511,1.7502244741121895e-19,0.0,0.0,0.0,5.402580155180709e-22,3.716472410374081e-20,0.0,0.0,4.491267308647625e-22,4.4604876541655947e-20,2.3283064365386963e-10,0.0,4.080863927222864e-21,0.0,0.04110746515113205,0.0,0.0,0.02166358241817484,0.1603288384370142,0.037106494778057324,0.0,3.5434461192655305e-19,0.0,0.025647718093083333,0.0,0.0,0.020022978381574363,0.0,4.595560382929509e-22,0.0,6.536514528144396e-22,1.2145638845200567e-19,0.0,0.0,0.0,0.0,2.3790640859311135e-17,0.0,0.0,1.2121181015036194e-20,6.185787299848061e-23,9.039576065956504e-7,0.0,0.0,0.01112749914367614,0.0,1.0029276690752227e-8,0.04697429017480184,5.911389717811778e-19,0.0,0.09515162376398506,0.036429009768216364,8.289920082753119e-15,2.0193535611171787
Argentina,1980,4,0.0,0.0,0.0,0.03487895407739397,4.300114195842568e-22,1.670904837357116e-22,3.228461985289198e-18,3.639292408669204e-24,0.0,0.0,0.0,8.021402010498224e-19,0.06285775092239901,0.0,0.0,0.0,0.0,0.0,5.167417830700182e-7,0.0,0.0,0.0,1.048556265467237e-6,0.0,0.0,0.0,0.0,0.0,0.0,0.04106072036373574,0.040881447256832286,0.0,0.03890154244701974,0.0,0.0,0.0,0.0,0.0,0.0,0.04625940283018613,0.0,0.0,1.937363622078303e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.507789669477383e-19,2.0225485561047443e-22,0.030775662295388896,0.011965043852895676,0.0,0.0,0.0,0.0,0.0,0.014759600784211286,0.03356554296456144,0.0,6.86036716152432e-21,0.0,0.0,1.5509291814205426e-21,0.03558704695634707,0.0,0.0,0.0,0.0,2.313538568357124e-18,0.0,0.035133077799177674,1.9678435828285947e-18,0.0,0.0,1.867018355297554e-21,0.06420633569306045,0.0,0.0,0.0,5.236243573412814e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018342436257255804,0.057451525300752274,0.0,0.0,0.0,0.04470378153966063,0.0,0.0,0.0,0.0,0.023555347296761356,0.0,0.0,0.0,0.03784588236700602,0.0,0.0,0.0,1.3368598377690456e-22,0.020862725291550876,0.08184869301751911,0.0,0.00753562261411333,1.8162672839679588e-22,0.0,0.0,0.0,1.1589956292108691e-20,0.004689455215507454,0.0,0.03334487797520849,0.0,0.0,0.0,8.44970336149084e-21,0.0,0.0,0.0,1.6420280808331862
Austria,2008,5,0.0,0.0,0.0,1.454889372754615e-9,7.172189875410569e-22,1.5321498078595313e-20,2.433136940268637e-18,1.9101933085498695e-21,0.0,0.0,0.0,4.8309134555337584e-21,4.374802376528924e-22,0.0,0.0,0.0,0.0,0.0,1.3490879229621413e-21,0.0,0.0,0.0,1.4445238642251116e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.291078113600532e-6,7.031035206700735e-24,0.0,1.6714871345970802e-8,0.0,0.0,0.0,0.0,0.0,0.0,2.120103413360981e-20,0.0,0.0,1.3032558010964122e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.570973145006454e-19,6.6801213208044236e-21,0.0257853761703737,3.210847171939761e-19,0.0,0.0,0.0,0.0,0.0,3.0479076006887545e-20,1.9770458929281152e-21,0.0,7.631623002255845e-21,0.0,0.0,3.43449898482012e-21,2.9201338459421934e-22,0.0,0.0,0.0,0.0,8.751006444393399e-22,0.0,0.011105875028657026,3.997618090460398e-19,0.0,0.0,4.05887204837339e-21,9.313376578661653e-21,0.0,0.0,0.0,2.917967007822214e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4442858487847644e-21,7.947313138485828e-18,0.0,0.0,0.0,9.705110018525362e-9,0.0,0.0,0.0,0.0,3.597639143326887e-22,0.0,0.0,0.0,9.550088148201664e-8,0.0,0.0,0.0,8.67299563534259e-22,6.220398206398768e-22,3.9006265014354856e-23,0.0,2.230875182543212e-19,3.629486629838035e-21,0.0,0.0,0.0,6.31536703580013e-21,4.604686222492682e-8,0.0,4.453304135723953e-8,0.0,0.0,0.0,1.4784890754100055e-21,0.0,0.0,0.0,0.07378751246560028
Burundi,1994,6,0.0,0.0,0.0,0.02928476707644712,0.0622258390915885,0.14116743263525622,0.615353664614942,0.44938477470823635,0.0,0.0,0.0,0.09422157209850485,0.09095052046662642,0.0,0.0,0.0,0.0,0.0,0.055553976272278024,0.0,0.0,0.0,0.09338897130589523,0.0,0.0,0.0,0.0,0.0,0.0,0.04784002411912799,0.036951484618719554,0.0,0.04815189087631969,0.0,0.0,0.0,0.0,0.0,0.0,0.027447060156070083,0.0,0.0,2.7586344213520354e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591855375477133,0.01092650264639035,0.015806903772473176,0.08420351444603806,0.0,0.0,0.0,0.0,0.0,0.1344285341607849,0.10483508684431304,0.0,9.546761532304889e-22,0.0,0.0,2.3476324595445273e-19,0.10748492089896125,0.0,0.0,0.0,0.0,0.21543921961561166,0.0,0.030243770485590914,0.3980100897419265,0.0,0.0,0.0725864294262068,0.10816870211127047,0.0,0.0,0.0,0.06884288586733042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08484099364309113,0.025438094919155045,0.0,0.0,0.0,0.029601228315094492,0.0,0.0,0.0,0.0,0.10196605677016216,0.0,0.0,0.0,0.0716420614964343,0.0,0.0,0.0,0.187837390002242,0.05218269184828534,1.1387536726511693e-21,0.0,0.04841382181269888,0.2136373735354773,0.0,0.0,0.0,0.7695973823202775,0.05746861962623367,0.0,0.037783658572907546,0.0,0.0,0.0,0.2642458907461166,0.0,0.0,0.0,10.6934786784256
Belgium,2008,7,0.0,0.0,0.0,1.2377701254717699e-8,1.1480676897386273e-21,2.867387671699592e-21,1.7306413081600644e-18,4.790393190715139e-21,0.0,0.0,0.0,2.2138745347600634e-19,3.870681418944646e-23,0.0,0.0,0.0,0.0,0.0,1.1323360019222822e-20,0.0,0.0,0.0,6.216253192812935e-19,0.0,0.0,0.0,0.0,0.0,0.0,2.9361309169980575e-20,0.0013635463079377656,0.0,2.8048152689156987e-8,0.0,0.0,0.0,0.0,0.0,0.0,3.137371054782869e-20,0.0,0.0,5.576168417926329e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0545336275545045e-20,3.343402335266416e-20,0.03132500884843153,7.213698348756911e-20,0.0,0.0,0.0,0.0,0.0,5.33650011906293e-20,3.8486658552200237e-22,0.0,1.399850597253307e-18,0.0,0.0,7.9256997721495e-21,1.85120203663053e-22,0.0,0.0,0.0,0.0,8.007437645649613e-22,0.0,0.006271653294682814,5.0248077437588716e-18,0.0,0.0,2.0124510950841606e-21,5.863875085114485e-20,0.0,0.0,0.0,2.222123501753978e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.179909386926675e-20,7.369991555953738e-20,0.0,0.0,0.0,3.639594695233322e-23,0.0,0.0,0.0,0.0,7.410675935845004e-21,0.0,0.0,0.0,8.437242248040882e-23,0.0,0.0,0.0,8.3065538278419565e-22,2.6999175193730823e-21,6.343964206042199e-23,0.0,4.2957430451953825e-20,5.830471363162662e-21,0.0,0.0,0.0,8.151356447608157e-22,1.200373485663983e-20,0.0,0.004483487347508945,0.0,0.0,0.0,9.395890621723713e-21,0.0,0.0,0.0,0.08688747244883002
Belarus,1997,8,1.0525492879607974e-18,0.0014524880986754546,3.1145935308748104e-9,0.0,0.0,0.0,0.0,0.0,0.0,9.37762457570344e-5,0.0,0.0,0.0,0.013714261606997142,0.07753682607119143,0.0665297970779113,1.6178887340862795e-22,0.0,0.0,0.04349738542217732,0.0,0.0,0.0,0.06922051834864512,0.0,0.11201260984108263,3.322723934976865e-20,0.0,4.9621226434386284e-14,0.0,0.0,0.07804309409082905,0.0,0.0,0.0,1.3689007672580404e-6,1.1676105119952388e-19,3.403953376836989e-8,0.006328743556450492,0.0,0.05499880122188184,4.54009659728305e-19,0.0,4.921745188777406e-18,2.030019296363698e-6,3.392632903901352e-19,9.414770052308943e-21,5.158466757904001e-19,0.0,9.620096456997893e-9,0.0,0.0,0.0,0.0,2.495821683454501e-9,0.23502209702081805,5.407681774390639e-8,0.0,0.2042660832616302,0.0,0.0,0.004867782178231157,0.0,0.0,2.3520292247895565e-19,0.0,0.0,0.0,2.4807273672889065e-20,0.0,0.02431829078885809,0.0,0.018319377591669902,0.0,0.0,6.600496775516009e-21,4.4274899954061266e-21,0.0,0.0,0.0,1.218912447664571e-21,4.087484906927813e-20,0.0,0.0,4.7140974321790485e-22,1.1505618574428902e-19,2.020080001739143e-22,0.0,0.00016801334786876765,0.0,0.0571930456674634,0.0,0.0,0.014025616421998155,0.0895466511239768,0.02557049823970197,0.0,5.1327642346546725e-21,0.0,2.6371340408571455e-22,0.0,0.0,0.0003953321512293535,0.0,0.002129272486953541,0.0,2.669126495173172e-19,2.314135246802586e-19,0.0,0.0,0.0,0.0,0.06789072788105739,0.0,0.0,0.07965458254058486,1.2113217789837415e-20,0.0037539676445386308,0.0,0.0,0.0009053745058671897,0.0,4.5828985596993604e-8,0.12753368993691425,6.705282196574152e-19,0.0,3.74673930042999e-18,3.4715716288791496e-12,7.230209471245352e-21,2.957984504940787
Belize,2007,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.533222874419079e-22,0.0,8.808910776257981e-6,0.0,0.0,0.0,0.0,0.0,0.0,7.961242649424475e-23,0.0,0.0,1.2579757972546704e-22,3.0508063495629478e-22,0.0,0.0,0.0,0.0,0.0,1.72198173295432e-22,0.0,0.0,0.0,0.0,0.0,0.40430011592965776,1.7559614360341616e-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.327058462845359e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4754794993914749,0.0,0.0,0.0,0.0,0.0,1.369835636574537e-20,0.0,0.0,0.0,6.23130952826234e-23,0.0,3.2814685052416464e-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.477398136775368e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047032570632657256,0.0,0.051109240544715426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.696268456373775e-22,0.0,5.0068891116591426e-23,0.0,0.0,2.7630157622253402e-8,0.0,0.0,0.0,0.0,1.276200804900843e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9558608839236507
Brazil,1976,10,4.5944167222483825e-21,0.021099305124600204,0.02627465498178787,0.0,0.0,0.0,0.0,0.0,0.0,0.004510140423829968,0.0,0.0,0.0,0.019116313681210077,0.016395856669581082,0.014818712395497806,2.980241266662053e-22,0.0,0.0,0.0023594908759374017,0.0,0.0,0.0,1.5881975458823659e-7,0.0,5.79580021354486e-16,4.323832596881515e-21,0.0,8.079511393236937e-11,0.0,0.0,0.010337782040341612,0.0,0.0,0.0,0.009843590760289987,7.671012168282942e-7,3.976645431662838e-7,0.008303232375294659,0.0,0.028281649528047067,6.382548904044449e-20,0.0,0.029024666948469082,0.011373765917529184,0.022826055745640773,2.7825032317303766e-19,1.0164395367051604e-18,0.0,0.03123592111347226,0.0,0.0,0.0,0.0,0.04607501540092286,1.9758310725775824e-21,0.022521446125808205,0.0,1.9130977605151723e-5,0.0,0.0,2.8653974654178837e-19,0.0,0.0,9.86857197618929e-7,0.0,0.0,0.0,3.154032586328144e-20,0.0,1.4942773153308393e-22,0.0,0.030967995718810294,0.0,0.0,2.4237149484329163e-21,3.2968290178764303e-21,0.0,0.0,0.0,2.36230323642346e-21,1.3699409567109224e-20,0.0,0.0,1.217852312437101e-21,1.1592027912060796e-6,4.250746716223632e-22,0.0,0.008188153470524782,0.0,0.015115089791148064,0.0,0.0,0.015869609163568277,7.379883833116617e-20,0.04516204049362262,0.0,1.3684791977325399e-18,0.0,6.52541504767196e-19,0.0,0.0,4.326949737113598e-6,0.0,1.2566693542212284e-18,0.0,3.6212584933052355e-20,1.4620687261069678e-19,0.0,0.0,0.0,0.0,0.04613036265369287,0.0,0.0,9.653554384949665e-20,8.310462531154931e-23,1.6875156304369065e-20,0.0,0.0,0.0218829814022545,0.0,0.028072477670879056,1.0175379380455996e-9,6.02218673267762e-21,0.0,0.024805646783879864,0.042375961072666335,2.293187175927363e-21,1.205989694000972
