Country,year,Country_code,GDPcap,advecon,Banking,Currency,Debt,IMF,LLevels1,LLevels2,LLevels3,LLevels4,LLevels5,FLevels1,FLevels2,FLevels3,FLevels4,FLevels5,FLevels6,ID,Diff1,SqError
Albania,1997,ALB,3750.854,0,0.0,1.0,0.0,1,4083.9094,3619.5225,3315.1384,2715.2742,2177.3784,4142.8257,4438.9746,4477.5679,4688.2827,4845.3374,5168.0503,1,-350.14485604910715,282277.3538924846
Argentina,1975,ARG,3914.1902,0,0.0,1.0,0.0,1,4022.2473,3910.4939,3767.1902,3742.2708,3635.1819,3808.7849,3903.4651,3725.9509,4008.2668,4177.9536,4077.9355,2,-171.63930977051268,963.7357836131766
Argentina,1987,ARG,5090.8496,0,0.0,1.0,0.0,1,4806.085,4285.3159,4539.499,4319.3057,4016.4656,5259.0718,5092.3467,5406.2651,6406.5474,7605.8335,8633.8926,3,-103.15634823448181,21736.764363856666
Argentina,1989,ARG,5092.3467,0,1.0,0.0,0.0,1,5259.0718,5090.8496,4806.085,4285.3159,4539.499,5406.2651,6406.5474,7605.8335,8633.8926,9957.2725,10912.57,4,242.0952444917857,115914.24331697408
Argentina,1995,ARG,10912.57,0,1.0,0.0,0.0,1,9957.2725,8633.8926,7605.8335,6406.5474,5406.2651,13962.052,14302.34,14202.345,13165.245,12869.529,11870.505,5,3419.8829099776412,191294.07247971446
Benin,1988,BEN,1329.5242,0,1.0,0.0,0.0,1,1325.6182,1469.2408,1682.4092,1589.9353,1468.5262,1210.2853,1207.6461,1224.2754,1218.8481,1235.4672,1108.3483,8,-158.0193342204825,32307.31412790752
Burkina Faso,1990,BFA,910.25458,0,1.0,0.0,0.0,1,933.86981,950.72272,918.32031,949.25232,906.42554,955.72058,928.57001,933.02728,859.42963,879.41583,946.13782,9,38.33707514541288,16508.130876671363
Bangladesh,1987,BGD,1204.4973,0,1.0,0.0,0.0,1,1222.6272,1218.6285,1203.1212,1128.6357,1128.4497,1214.5588,1318.6285,1337.056,1369.4105,1374.8125,1389.1725,10,-29.8464298935678,4281.594969839924
Bulgaria,1990,BGR,10130.82,0,0.0,0.0,1.0,1,9579.7324,9842.4824,9560.7393,8715.6582,8700.791,10524.724,8903.7148,8274.5518,8330.2998,8125.1938,7212.0869,11,1538.9658476123914,1.1291988368774096e6
Bolivia,1973,BOL,1837.3578,0,0.0,1.0,0.0,1,1770.9861,1772.8353,1711.4355,1676.8705,1648.9355,2086.7336,1989.4006,2069.9817,2137.1433,2040.5996,2109.0542,15,313.83319989470624,17802.049894375057
Bolivia,1980,BOL,2119.6824,0,0.0,0.0,1.0,1,2109.0542,2040.5996,2137.1433,2069.9817,1989.4006,2165.4297,2147.2651,2075.4556,2177.5801,2261.2068,2159.1868,16,44.230035473149655,82.68716531075812
Bolivia,1986,BOL,2159.1868,0,1.0,0.0,0.0,1,2261.2068,2177.5801,2075.4556,2147.2651,2165.4297,2185.022,1999.6094,2099.4473,2199.9993,2266.4075,2318.146,17,-100.01356830599752,11026.547730406723
Bolivia,1994,BOL,2615.4329,0,1.0,0.0,0.0,1,2426.9839,2318.146,2266.4075,2199.9993,2099.4473,2840.4033,3060.3877,3063.5393,3081.6699,3073.7896,3091.4653,18,207.61583716663017,1947.9466665481095
Brazil,1982,BRA,5442.9639,0,0.0,1.0,0.0,1,5430.5508,5488.6841,5569.3906,5385.8291,5347.5093,5231.5376,5388.6055,5557.4736,6152.561,6242.5469,6229.3984,19,-401.2620041983282,1755.4365322423723
Brazil,1987,BRA,6242.5469,0,0.0,1.0,0.0,1,6152.561,5557.4736,5388.6055,5231.5376,5442.9639,6229.3984,6156.7666,5841.3965,6272.5498,6378.6289,6753.2876,20,-286.2751859741784,55066.68706941314
Brazil,1992,BRA,6378.6289,0,0.0,1.0,0.0,1,6272.5498,5841.3965,6156.7666,6229.3984,6242.5469,6753.2876,7461.9912,8543.2988,10068.179,9638.0146,9129.3779,21,232.87887329855766,10493.231920915274
Central African Republic,1994,CAF,1030.9384,0,0.0,1.0,0.0,1,897.21466,942.54913,1009.0588,1050.4386,1083.1396,1021.0917,874.81671,915.25262,940.85864,920.55206,927.63318,22,9.322487233649895,1990.681481957291
Cote d'Ivoire,1984,CIV,2508.707,0,0.0,0.0,1.0,1,2327.9375,2345.3064,2398.3015,2432.1033,3180.418,2733.7563,2687.8982,2475.4185,2428.6548,2572.7234,2294.126,23,53.902650317889766,103564.0721587701
Cote d'Ivoire,1988,CIV,2428.6548,0,1.0,0.0,0.0,1,2475.4185,2687.8982,2733.7563,2508.707,2327.9375,2572.7234,2294.126,2256.873,2278.5913,2215.8362,2263.2571,24,79.0779382737951,13314.074563710441
Cote d'Ivoire,1994,CIV,2263.2571,0,0.0,1.0,0.0,1,2215.8362,2278.5913,2256.873,2294.126,2572.7234,2389.2827,2534.2546,2465.0767,2436.9844,2358.2695,2233.7961,25,150.64367692918995,16828.904600686325
Cote d'Ivoire,2001,CIV,2211.3164,0,0.0,0.0,1.0,1,2233.7961,2358.2695,2436.9844,2465.0767,2534.2546,2194.6914,2325.3687,2159.0071,2057.4951,2129.7178,2178.7722,26,-47.856936504682835,269.36149345073454
Cote d'Ivoire,2010,CIV,2596.7124,0,0.0,0.0,1.0,1,2462.1973,2298.3425,2178.7722,2129.7178,2057.4951,2561.9214,2678.3228,2841.614,3038.0186,3299.6907,3528.481,27,-45.64951571802658,717.5008914860955
Cameroon,1987,CMR,2889.075,0,1.0,0.0,0.0,1,3023.0559,3280.1658,3221.0127,2948.7791,2685.0916,2781.2693,2612.5488,2410.0039,2276.0886,2172.3611,2225.0823,28,-180.51956066769662,15783.878638933133
Cameroon,1994,CMR,2235.2886,0,0.0,1.0,0.0,1,2225.0823,2172.3611,2276.0886,2410.0039,2612.5488,2302.2673,2397.1948,2429.9253,2491.575,2537.6116,2553.3479,29,51.54107140670931,388.53127778188104
"Congo, Dem. Rep.",1983,COD,1911.6552,0,1.0,1.0,0.0,1,1903.2026,1923.6324,2062.2554,2024.1045,1743.6876,2315.5828,2058.9307,1857.037,1810.7568,1903.9889,1855.4766,31,825.201053290853,1.4491612833680434e6
